철도운영기관명,선명,역명,역간거리,역명_clean,순서,전역,역간거리(km),소요시간(초),소요시간,전역_clean
코레일,3호선,대화,1.4,대화,0,,1.4,148.235294117647,148,
코레일,3호선,주엽,1.6,주엽,1,대화,1.6,169.411764705882,169,대화
코레일,3호선,정발산,0.9,정발산,2,주엽,0.9,95.2941176470588,95,주엽
코레일,3호선,마두,1.4,마두,3,정발산,1.4,148.235294117647,148,정발산
코레일,3호선,백석,2.5,백석,4,마두,2.5,264.705882352941,264,마두
코레일,3호선,대곡,2.1,대곡,5,백석,2.1,222.352941176471,222,백석
코레일,3호선,화정,2.6,화정,6,대곡,2.6,275.294117647059,275,대곡
코레일,3호선,원당,2.9,원당,7,화정,2.9,307.058823529412,307,화정
코레일,3호선,원흥,2.1,원흥,8,원당,2.1,222.352941176471,222,원당
코레일,3호선,삼송,1.7,삼송,9,원흥,1.7,180.0,180,원흥
