노선,역명_clean,전역_clean,소요시간
4호선,남태령,,143.0
4호선,선바위,남태령,80.0
4호선,경마공원,선바위,80.0
4호선,대공원,경마공원,89.0
4호선,과천,대공원,89.0
4호선,정부과천청사,과천,269.0
4호선,인덕원,정부과천청사,269.0
4호선,평촌,인덕원,143.0
4호선,범계,평촌,233.0
4호선,금정,범계,233.0
4호선,산본,금정,206.0
4호선,수리산,산본,98.0
4호선,대야미,수리산,233.0
4호선,반월,대야미,179.0
4호선,상록수,반월,332.0
4호선,한대앞,상록수,143.0
4호선,중앙,한대앞,143.0
4호선,고잔,중앙,125.0
4호선,초지,고잔,134.0
4호선,안산,초지,161.0
4호선,신길온천,안산,197.0
4호선,정왕,신길온천,260.0
4호선,오이도,정왕,125.0
경의중앙선,서울역,,0.0
경의중앙선,신촌,서울역,268.0
경의중앙선,공덕,신촌,86.0
경의중앙선,효창공원앞,공덕,130.0
경의중앙선,용산,효창공원앞,0.0
경의중앙선,이촌,용산,164.0
경의중앙선,서빙고,이촌,0.0
경의중앙선,한남,서빙고,164.0
경의중앙선,옥수,한남,138.0
경의중앙선,응봉,옥수,156.0
경의중앙선,왕십리,응봉,121.0
경의중앙선,청량리,왕십리,208.0
경의중앙선,회기,청량리,121.0
경의중앙선,중랑,회기,69.0
경의중앙선,상봉,중랑,69.0
경의중앙선,망우,상봉,52.0
경의중앙선,양원,망우,147.0
경의중앙선,구리,양원,277.0
경의중앙선,도농,구리,147.0
경의중앙선,양정,도농,320.0
경의중앙선,덕소,양정,199.0
경의중앙선,도심,덕소,130.0
경의중앙선,팔당,도심,364.0
경의중앙선,운길산,팔당,555.0
경의중앙선,양수,운길산,164.0
경의중앙선,신원,양수,407.0
경의중앙선,국수,신원,251.0
경의중앙선,아신,국수,355.0
경의중앙선,오빈,아신,242.0
경의중앙선,양평,오빈,190.0
경의중앙선,원덕,양평,503.0
경의중앙선,용문,원덕,503.0
경의중앙선,지평,용문,312.0
9호선,개화,,0.0
9호선,김포공항,개화,494.0
9호선,공항시장,김포공항,109.0
9호선,신방화,공항시장,109.0
9호선,마곡나루,신방화,123.0
9호선,양천향교,마곡나루,192.0
9호선,가양,양천향교,178.0
9호선,증미,가양,96.0
9호선,등촌,증미,137.0
9호선,염창,등촌,123.0
9호선,신목동,염창,123.0
9호선,선유도,신목동,164.0
9호선,당산,선유도,137.0
9호선,국회의사당,당산,206.0
9호선,여의도,국회의사당,123.0
9호선,샛강,여의도,109.0
9호선,노량진,샛강,164.0
9호선,노들,노량진,151.0
9호선,흑석,노들,151.0
9호선,동작,흑석,192.0
