철도운영기관명,선명,역명,역간거리(km),소요시간,전역
코레일,1호선,연천,8.6,911,
코레일,1호선,전곡,3.3,349,연천
코레일,1호선,청산,5.8,614,전곡
코레일,1호선,소요산,2.5,265,청산
코레일,1호선,동두천,1.6,169,소요산
코레일,1호선,보산,1.4,148,동두천
코레일,1호선,동두천중앙,1.0,106,보산
코레일,1호선,지행,5.6,593,동두천중앙
코레일,1호선,덕정,2.9,307,지행
코레일,1호선,덕계,5.3,561,덕정
코레일,1호선,양주,1.6,169,덕계
코레일,1호선,녹양,1.3,138,양주
코레일,1호선,가능,1.2,127,녹양
코레일,1호선,의정부,1.6,169,가능
코레일,1호선,회룡,1.4,148,의정부
코레일,1호선,망월사,2.3,244,회룡
코레일,1호선,도봉산,1.2,127,망월사
코레일,1호선,도봉,1.3,138,도봉산
코레일,1호선,방학,1.7,180,도봉
코레일,1호선,창동,1.0,106,방학
코레일,1호선,녹천,1.4,148,창동
코레일,1호선,월계,1.1,116,녹천
코레일,1호선,광운대,1.1,116,월계
코레일,1호선,석계,1.4,148,광운대
코레일,1호선,신이문,0.8,85,석계
서울교통공사,1호선,외대앞,0.8,85,신이문
코레일,1호선,회기,1.4,148,외대앞
서울교통공사,1호선,청량리,0,0,회기
코레일,1호선,제기동,1.0,88,청량리
서울교통공사,1호선,신설동,0.9,79,제기동
서울교통공사,1호선,동묘앞,0.7,61,신설동
서울교통공사,1호선,동대문,0.6,53,동묘앞
서울교통공사,1호선,종로5가,0.8,70,동대문
서울교통공사,1호선,종로3가,0.9,79,종로5가
서울교통공사,1호선,종각,0.8,70,종로3가
서울교통공사,1호선,시청,1.0,88,종각
서울교통공사,1호선,서울역,1.1,96,시청
코레일,1호선,남영,1.7,149,서울역
코레일,1호선,용산,1.5,131,남영
코레일,1호선,노량진,1.8,158,용산
코레일,1호선,대방,1.5,131,노량진
코레일,1호선,신길,0.8,70,대방
코레일,1호선,영등포,1.0,88,신길
코레일,1호선,신도림,1.5,131,영등포
코레일,1호선,구로,1.1,105,신도림
코레일,1호선,가산디지털단지,1.1,89,구로
코레일,1호선,구일,1.4,134,가산디지털단지
코레일,1호선,개봉,1.0,96,구일
코레일,1호선,독산,2.0,161,개봉
코레일,1호선,금천구청,1.2,97,독산
코레일,1호선,오류동,1.3,124,금천구청
코레일,1호선,광명,4.8,387,오류동
코레일,1호선,석수,1.9,153,광명
코레일,1호선,온수,1.9,182,석수
코레일,1호선,관악,1.9,153,온수
코레일,1호선,역곡,1.3,124,관악
코레일,1호선,소사,1.5,144,역곡
코레일,1호선,안양,2.4,194,소사
코레일,1호선,명학,2.2,178,안양
코레일,1호선,부천,1.1,105,명학
코레일,1호선,금정,1.4,113,부천
코레일,1호선,중동,1.7,163,금정
코레일,1호선,군포,2.2,178,중동
코레일,1호선,송내,1.0,96,군포
코레일,1호선,당정,1.6,129,송내
코레일,1호선,부개,1.2,115,당정
코레일,1호선,부평,1.5,144,부개
코레일,1호선,의왕,2.6,210,부평
코레일,1호선,백운,1.7,163,의왕
코레일,1호선,성균관대,2.9,234,백운
코레일,1호선,화서,2.6,210,성균관대
코레일,1호선,동암,1.5,144,화서
코레일,1호선,간석,1.2,115,동암
코레일,1호선,수원,2.1,170,간석
코레일,1호선,세류,2.9,234,수원
코레일,1호선,주안,1.2,115,세류
코레일,1호선,도화,1.0,96,주안
코레일,1호선,병점,4.3,347,도화
코레일,1호선,서동탄,2.2,178,병점
코레일,1호선,세마,2.4,194,서동탄
코레일,1호선,제물포,1.0,96,세마
코레일,1호선,도원,1.4,134,제물포
코레일,1호선,오산대,2.7,218,도원
코레일,1호선,동인천,1.2,115,오산대
코레일,1호선,오산,2.7,218,동인천
코레일,1호선,인천,1.9,182,오산
코레일,1호선,진위,4.0,323,인천
코레일,1호선,송탄,3.8,307,진위
코레일,1호선,서정리,2.2,178,송탄
코레일,1호선,평택지제,4.8,387,서정리
코레일,1호선,평택,3.7,299,평택지제
코레일,1호선,성환,9.4,759,평택
코레일,1호선,직산,5.4,436,성환
코레일,1호선,두정,5.4,436,직산
코레일,1호선,천안,3.0,242,두정
코레일,1호선,봉명,1.3,105,천안
코레일,1호선,쌍용(나사렛대),1.6,129,봉명
코레일,1호선,아산,1.6,129,쌍용(나사렛대)
코레일,1호선,탕정,1.8,145,아산
코레일,1호선,배방,3.1,250,탕정
코레일,1호선,온양온천,4.9,396,배방
코레일,1호선,신창(순천향대),5.1,412,온양온천
