철도운영기관명,선명,역명,역간거리,소요시간,전역,역명_clean,전역_clean
용인경량전철주식회사,에버라인,기흥,0.0,0,,기흥,
용인경량전철주식회사,에버라인,강남대,1.0,100,기흥,강남대,기흥
용인경량전철주식회사,에버라인,지석,1.0,100,강남대,지석,강남대
용인경량전철주식회사,에버라인,어정,0.9,90,지석,어정,지석
용인경량전철주식회사,에버라인,동백,1.1,110,어정,동백,어정
용인경량전철주식회사,에버라인,초당,1.0,100,동백,초당,동백
용인경량전철주식회사,에버라인,삼가,2.6,260,초당,삼가,초당
용인경량전철주식회사,에버라인,시청·용인대,1.0,100,삼가,시청·용인대,삼가
용인경량전철주식회사,에버라인,명지대,1.0,100,시청·용인대,명지대,시청·용인대
용인경량전철주식회사,에버라인,김량장,0.7,70,명지대,김량장,명지대
용인경량전철주식회사,에버라인,운동장·송담대,0.9,90,김량장,운동장·송담대,김량장
용인경량전철주식회사,에버라인,고진,0.9,90,운동장·송담대,고진,운동장·송담대
용인경량전철주식회사,에버라인,보평,1.7,170,고진,보평,고진
용인경량전철주식회사,에버라인,둔전,1.0,100,보평,둔전,보평
용인경량전철주식회사,에버라인,전대·에버랜드,2.6,260,둔전,전대·에버랜드,둔전
