노선,역명_clean,전역_clean,소요시간
9호선,개화,,0
9호선,김포공항,개화,494
9호선,공항시장,김포공항,109
9호선,신방화,공항시장,109
9호선,마곡나루,신방화,123
9호선,양천향교,마곡나루,192
9호선,가양,양천향교,178
9호선,증미,가양,96
9호선,등촌,증미,137
9호선,염창,등촌,123
9호선,신목동,염창,123
9호선,선유도,신목동,164
9호선,당산,선유도,137
9호선,국회의사당,당산,206
9호선,여의도,국회의사당,123
9호선,샛강,여의도,109
9호선,노량진,샛강,164
9호선,노들,노량진,151
9호선,흑석,노들,151
9호선,동작,흑석,192
9호선,구반포,동작,137
9호선,신반포,구반포,96
9호선,고속터미널,신반포,109
9호선,사평,고속터미널,151
9호선,신논현,사평,123
9호선,언주,신논현,109
9호선,선정릉,언주,123
9호선,삼성중앙,선정릉,109
9호선,봉은사,삼성중앙,109
9호선,종합운동장,봉은사,192
9호선,삼전,종합운동장,192
9호선,석촌고분,삼전,109
9호선,석촌,석촌고분,137
9호선,송파나루,석촌,109
9호선,한성백제,송파나루,109
9호선,올림픽공원,한성백제,192
9호선,둔촌오륜,올림픽공원,137
9호선,중앙보훈병원,둔촌오륜,233
