노선,역명_clean,전역_clean,소요시간
경의중앙선,서울역,,0
경의중앙선,신촌,서울역,268
경의중앙선,공덕,신촌,86
경의중앙선,효창공원앞,공덕,130
경의중앙선,용산,효창공원앞,0
경의중앙선,이촌,용산,164
경의중앙선,서빙고,이촌,0
경의중앙선,한남,서빙고,164
경의중앙선,옥수,한남,138
경의중앙선,응봉,옥수,156
경의중앙선,왕십리,응봉,121
경의중앙선,청량리,왕십리,208
경의중앙선,회기,청량리,121
경의중앙선,중랑,회기,69
경의중앙선,상봉,중랑,69
경의중앙선,망우,상봉,52
경의중앙선,양원,망우,147
경의중앙선,구리,양원,277
경의중앙선,도농,구리,147
경의중앙선,양정,도농,320
경의중앙선,덕소,양정,199
경의중앙선,도심,덕소,130
경의중앙선,팔당,도심,364
경의중앙선,운길산,팔당,555
경의중앙선,양수,운길산,164
경의중앙선,신원,양수,407
경의중앙선,국수,신원,251
경의중앙선,아신,국수,355
경의중앙선,오빈,아신,242
경의중앙선,양평,오빈,190
경의중앙선,원덕,양평,503
경의중앙선,용문,원덕,503
경의중앙선,지평,용문,312
