노선,역명_clean,전역_clean,소요시간
수인분당선,인천,,100
수인분당선,신포,인천,137
수인분당선,숭의,신포,164
수인분당선,인하대,숭의,219
수인분당선,송도,인하대,247
수인분당선,연수,송도,82
수인분당선,원인재,연수,91
수인분당선,남동인더스파크,원인재,119
수인분당선,호구포,남동인더스파크,119
수인분당선,인천논현,호구포,91
수인분당선,소래포구,인천논현,119
수인분당선,월곶,소래포구,137
수인분당선,달월,월곶,192
수인분당선,오이도,달월,128
수인분당선,정왕,오이도,155
수인분당선,신길온천,정왕,146
수인분당선,안산,신길온천,164
수인분당선,초지,안산,128
수인분당선,고잔,초지,137
수인분당선,중앙,고잔,146
수인분당선,한대앞,중앙,128
수인분당선,사리,한대앞,430
수인분당선,야목,사리,238
수인분당선,어천,야목,467
수인분당선,오목천,어천,146
수인분당선,고색,오목천,247
수인분당선,수원,고색,137
수인분당선,매교,수원,128
수인분당선,수원시청,매교,128
수인분당선,매탄권선,수원시청,164
수인분당선,망포,매탄권선,137
수인분당선,영통,망포,100
수인분당선,청명,영통,256
수인분당선,상갈,청명,174
수인분당선,기흥,상갈,128
수인분당선,신갈,기흥,146
수인분당선,구성,신갈,146
수인분당선,보정,구성,119
수인분당선,죽전,보정,164
수인분당선,오리,죽전,100
수인분당선,미금,오리,164
수인분당선,정자,미금,146
수인분당선,수내,정자,100
수인분당선,서현,수내,128
수인분당선,이매,서현,155
수인분당선,야탑,이매,210
수인분당선,모란,야탑,82
수인분당선,태평,모란,91
수인분당선,가천대,태평,219
수인분당선,복정,가천대,293
수인분당선,수서,복정,293
수인분당선,대모산입구,수서,54
수인분당선,개포동,대모산입구,64
수인분당선,구룡,개포동,54
수인분당선,도곡,구룡,64
수인분당선,한티,도곡,100
수인분당선,선릉,한티,64
수인분당선,선정릉,선릉,64
수인분당선,강남구청,선정릉,109
수인분당선,압구정로데오,강남구청,174
수인분당선,서울숲,압구정로데오,201
수인분당선,왕십리,서울숲,0
수인분당선,청량리,왕십리,0
