연번,선명,역명,소요시간,역간거리(km),호선별누계(km),역명_clean,전역,전역_clean
1,1호선,서울역,0,0.0,0.0,서울역,,
2,1호선,시청,120,1.1,1.1,시청,서울역,서울역
3,1호선,종각,120,1.0,2.1,종각,시청,시청
4,1호선,종로3가,90,0.8,2.9,종로3가,종각,종각
5,1호선,종로5가,90,0.9,3.8,종로5가,종로3가,종로3가
6,1호선,동대문,90,0.8,4.6,동대문,종로5가,종로5가
7,1호선,동묘앞,60,0.6,5.2,동묘앞,동대문,동대문
8,1호선,신설동,90,0.7,5.9,신설동,동묘앞,동묘앞
9,1호선,제기동,90,0.9,6.8,제기동,신설동,신설동
10,1호선,청량리,90,1.0,7.8,청량리,제기동,제기동
11,2호선,시청,0,0.0,0.0,시청,,
12,2호선,을지로입구,90,0.7,0.7,을지로입구,시청,시청
13,2호선,을지로3가,60,0.8,1.5,을지로3가,을지로입구,을지로입구
14,2호선,을지로4가,60,0.6,2.1,을지로4가,을지로3가,을지로3가
15,2호선,동대문역사문화공원,90,1.0,3.1,동대문역사문화공원,을지로4가,을지로4가
16,2호선,신당,90,0.9,4.0,신당,동대문역사문화공원,동대문역사문화공원
17,2호선,상왕십리,60,0.9,4.9,상왕십리,신당,신당
18,2호선,왕십리,60,0.8,5.7,왕십리,상왕십리,상왕십리
19,2호선,한양대,90,1.0,6.7,한양대,왕십리,왕십리
20,2호선,뚝섬,90,1.1,7.8,뚝섬,한양대,한양대
21,2호선,성수,60,0.8,8.6,성수,뚝섬,뚝섬
22,2호선,건대입구,90,1.2,9.8,건대입구,성수,성수
23,2호선,구의,120,1.6,11.4,구의,건대입구,건대입구
24,2호선,강변,60,0.9,12.3,강변,구의,구의
25,2호선,잠실나루,120,1.8,14.1,잠실나루,강변,강변
26,2호선,잠실,90,1.0,15.1,잠실,잠실나루,잠실나루
27,2호선,잠실새내,90,1.2,16.3,잠실새내,잠실,잠실
28,2호선,종합운동장,90,1.2,17.5,종합운동장,잠실새내,잠실새내
29,2호선,삼성,90,1.0,18.5,삼성,종합운동장,종합운동장
30,2호선,선릉,90,1.3,19.8,선릉,삼성,삼성
31,2호선,역삼,90,1.2,21.0,역삼,선릉,선릉
32,2호선,강남,60,0.8,21.8,강남,역삼,역삼
33,2호선,교대,90,1.2,23.0,교대,강남,강남
34,2호선,서초,60,0.7,23.7,서초,교대,교대
35,2호선,방배,120,1.7,25.4,방배,서초,서초
36,2호선,사당,150,1.6,27.0,사당,방배,방배
37,2호선,낙성대,120,1.7,28.7,낙성대,사당,사당
38,2호선,서울대입구,90,1.0,29.7,서울대입구,낙성대,낙성대
39,2호선,봉천,60,1.0,30.7,봉천,서울대입구,서울대입구
