노선,역명_clean,전역_clean,소요시간
1호선,서울역,,0
1호선,시청,서울역,120
1호선,종각,시청,120
1호선,종로3가,종각,90
1호선,종로5가,종로3가,90
1호선,동대문,종로5가,90
1호선,동묘앞,동대문,60
1호선,신설동,동묘앞,90
1호선,제기동,신설동,90
1호선,청량리,제기동,90
2호선,시청,,0
2호선,을지로입구,시청,90
2호선,을지로3가,을지로입구,60
2호선,을지로4가,을지로3가,60
2호선,동대문역사문화공원,을지로4가,90
2호선,신당,동대문역사문화공원,90
2호선,상왕십리,신당,60
2호선,왕십리,상왕십리,60
2호선,한양대,왕십리,90
2호선,뚝섬,한양대,90
2호선,성수,뚝섬,60
2호선,건대입구,성수,90
2호선,구의,건대입구,120
2호선,강변,구의,60
2호선,잠실나루,강변,120
2호선,잠실,잠실나루,90
2호선,잠실새내,잠실,90
2호선,종합운동장,잠실새내,90
2호선,삼성,종합운동장,90
2호선,선릉,삼성,90
2호선,역삼,선릉,90
2호선,강남,역삼,60
2호선,교대,강남,90
2호선,서초,교대,60
2호선,방배,서초,120
2호선,사당,방배,150
2호선,낙성대,사당,120
2호선,서울대입구,낙성대,90
2호선,봉천,서울대입구,60
2호선,신림,봉천,90
2호선,신대방,신림,120
2호선,구로디지털단지,신대방,90
2호선,대림,구로디지털단지,90
2호선,신도림,대림,150
2호선,문래,신도림,120
2호선,영등포구청,문래,60
2호선,당산,영등포구청,90
2호선,합정,당산,150
2호선,홍대입구,합정,90
2호선,신촌,홍대입구,120
2호선,이대,신촌,60
2호선,아현,이대,60
2호선,충정로,아현,90
2호선,시청,충정로,90
2호선,용답,시청,180
2호선,신답,용답,90
2호선,용두,신답,90
2호선,신설동,용두,90
2호선,도림천,신설동,90
2호선,양천구청,도림천,150
2호선,신정네거리,양천구청,180
2호선,까치산,신정네거리,150
3호선,지축,,0
3호선,구파발,지축,180
3호선,연신내,구파발,120
3호선,불광,연신내,90
3호선,녹번,불광,90
3호선,홍제,녹번,120
3호선,무악재,홍제,90
3호선,독립문,무악재,90
3호선,경복궁,독립문,120
3호선,안국,경복궁,90
3호선,종로3가,안국,90
3호선,을지로3가,종로3가,60
3호선,충무로,을지로3가,60
3호선,동대입구,충무로,90
3호선,약수,동대입구,60
3호선,금호,약수,60
3호선,옥수,금호,60
3호선,압구정,옥수,120
3호선,신사,압구정,120
3호선,잠원,신사,90
3호선,고속터미널,잠원,90
3호선,교대,고속터미널,120
3호선,남부터미널,교대,90
3호선,양재,남부터미널,120
3호선,매봉,양재,120
3호선,도곡,매봉,90
3호선,대치,도곡,60
3호선,학여울,대치,60
3호선,대청,학여울,90
3호선,일원,대청,90
3호선,수서,일원,120
3호선,가락시장,수서,120
3호선,경찰병원,가락시장,60
3호선,오금,경찰병원,60
4호선,당고개,,0
4호선,상계,당고개,90
4호선,노원,상계,90
4호선,창동,노원,120
4호선,쌍문,창동,90
4호선,수유,쌍문,120
4호선,미아,수유,90
4호선,미아사거리,미아,120
4호선,길음,미아사거리,90
4호선,성신여대입구,길음,120
4호선,한성대입구,성신여대입구,90
4호선,혜화,한성대입구,90
4호선,동대문,혜화,120
4호선,동대문역사문화공원,동대문,60
4호선,충무로,동대문역사문화공원,120
4호선,명동,충무로,60
4호선,회현,명동,60
4호선,서울역,회현,90
4호선,숙대입구,서울역,90
4호선,삼각지,숙대입구,90
4호선,신용산,삼각지,60
4호선,이촌,신용산,90
4호선,동작,이촌,180
4호선,총신대입구,동작,150
4호선,사당,총신대입구,90
4호선,남태령,사당,90
5호선,방화,,0
5호선,개화산,방화,90
5호선,김포공항,개화산,100
5호선,송정,김포공항,130
5호선,마곡,송정,90
5호선,발산,마곡,100
5호선,우장산,발산,90
5호선,화곡,우장산,90
5호선,까치산,화곡,90
5호선,신정,까치산,110
5호선,목동,신정,70
5호선,오목교,목동,80
5호선,양평,오목교,80
5호선,영등포구청,양평,70
5호선,영등포시장,영등포구청,70
5호선,신길,영등포시장,90
5호선,여의도,신길,90
5호선,여의나루,여의도,80
5호선,마포,여의나루,120
5호선,공덕,마포,70
5호선,애오개,공덕,80
5호선,충정로,애오개,80
5호선,서대문,충정로,60
5호선,광화문,서대문,90
5호선,종로3가,광화문,100
5호선,을지로4가,종로3가,100
5호선,동대문역사문화공원,을지로4가,90
5호선,청구,동대문역사문화공원,80
5호선,신금호,청구,90
5호선,행당,신금호,80
5호선,왕십리,행당,70
5호선,마장,왕십리,60
5호선,답십리,마장,100
5호선,장한평,답십리,100
5호선,군자,장한평,100
5호선,아차산,군자,90
5호선,광나루,아차산,110
5호선,천호,광나루,130
5호선,강동,천호,70
5호선,길동,강동,90
5호선,굽은다리,길동,70
5호선,명일,굽은다리,70
5호선,고덕,명일,100
5호선,상일동,고덕,100
5호선,강일,상일동,110
5호선,미사,강일,110
5호선,하남풍산,미사,150
5호선,하남시청,하남풍산,110
5호선,하남검단산,하남시청,150
5호선,둔촌동,하남검단산,110
5호선,올림픽공원,둔촌동,100
5호선,방이,올림픽공원,80
5호선,오금,방이,80
5호선,개롱,오금,70
5호선,거여,개롱,80
5호선,마천,거여,90
6호선,응암,,0
6호선,역촌,응암,100
6호선,불광,역촌,80
6호선,독바위,불광,80
6호선,연신내,독바위,130
6호선,구산,연신내,80
6호선,응암,구산,120
6호선,새절,응암,80
6호선,증산,새절,80
6호선,디지털미디어시티,증산,80
6호선,월드컵경기장,디지털미디어시티,70
6호선,마포구청,월드컵경기장,70
6호선,망원,마포구청,80
6호선,합정,망원,80
6호선,상수,합정,70
6호선,광흥창,상수,70
6호선,대흥,광흥창,90
6호선,공덕,대흥,80
6호선,효창공원앞,공덕,80
6호선,삼각지,효창공원앞,90
6호선,녹사평,삼각지,100
6호선,이태원,녹사평,70
6호선,한강진,이태원,90
6호선,버티고개,한강진,90
6호선,약수,버티고개,70
6호선,청구,약수,70
6호선,신당,청구,70
6호선,동묘앞,신당,60
6호선,창신,동묘앞,80
6호선,보문,창신,70
6호선,안암,보문,70
6호선,고려대,안암,70
6호선,월곡,고려대,100
6호선,상월곡,월곡,70
6호선,돌곶이,상월곡,70
6호선,석계,돌곶이,80
6호선,태릉입구,석계,70
6호선,화랑대,태릉입구,70
6호선,봉화산,화랑대,80
6호선,신내역,봉화산,270
7호선,장암,,0
7호선,도봉산,장암,270
7호선,수락산,도봉산,140
7호선,마들,수락산,120
7호선,노원,마들,90
7호선,중계,노원,80
7호선,하계,중계,70
7호선,공릉,하계,90
7호선,태릉입구,공릉,60
7호선,먹골,태릉입구,70
7호선,중화,먹골,80
7호선,상봉,중화,110
7호선,면목,상봉,70
7호선,사가정,면목,70
7호선,용마산,사가정,70
7호선,중곡,용마산,80
7호선,군자,중곡,80
7호선,어린이대공원,군자,80
7호선,건대입구,어린이대공원,80
7호선,자양,건대입구,90
7호선,청담,자양,150
7호선,강남구청,청담,90
7호선,학동,강남구청,70
7호선,논현,학동,80
7호선,반포,논현,70
7호선,고속터미널,반포,90
7호선,내방,고속터미널,150
7호선,이수,내방,90
7호선,남성,이수,80
7호선,숭실대입구,남성,150
7호선,상도,숭실대입구,70
7호선,장승배기,상도,150
7호선,신대방삼거리,장승배기,110
7호선,보라매,신대방삼거리,70
7호선,신풍,보라매,140
7호선,대림,신풍,120
7호선,남구로,대림,90
7호선,가산디지털단지,남구로,80
7호선,철산,가산디지털단지,120
7호선,광명사거리,철산,110
7호선,천왕,광명사거리,120
7호선,온수,천왕,140
8호선,암사역사공원,,0
8호선,암사,암사역사공원,90
8호선,천호,암사,90
8호선,강동구청,천호,80
8호선,몽촌토성,강동구청,120
8호선,잠실,몽촌토성,70
8호선,석촌,잠실,110
8호선,송파,석촌,70
8호선,가락시장,송파,70
8호선,문정,가락시장,70
8호선,장지,문정,70
8호선,복정,장지,70
8호선,남위례,복정,110
8호선,산성,남위례,100
8호선,남한산성입구,산성,130
8호선,단대오거리,남한산성입구,70
8호선,신흥,단대오거리,70
8호선,수진,신흥,70
8호선,모란,수진,90
