철도운영기관명,선명,역명,역간거리,소요시간,전역,역명_clean
의정부경전철,의정부경전철,발곡,0.0,,,발곡
의정부경전철,의정부경전철,회룡,0.8,,발곡,회룡
의정부경전철,의정부경전철,범골,0.6,,회룡,범골
의정부경전철,의정부경전철,경전철의정부,0.9,,범골,경전철의정부
의정부경전철,의정부경전철,의정부시청,0.9,,경전철의정부,의정부시청
의정부경전철,의정부경전철,흥선,0.6,,의정부시청,흥선
의정부경전철,의정부경전철,의정부중앙,1.1,,흥선,의정부중앙
의정부경전철,의정부경전철,동오,0.7,,의정부중앙,동오
의정부경전철,의정부경전철,새말,0.7,,동오,새말
의정부경전철,의정부경전철,경기도청북부청사,0.7,,새말,경기도청북부청사
의정부경전철,의정부경전철,효자,0.6,,경기도청북부청사,효자
의정부경전철,의정부경전철,곤제,0.7,,효자,곤제
의정부경전철,의정부경전철,어룡(용현산업단지),0.9,,곤제,어룡
의정부경전철,의정부경전철,송산,0.6,,어룡(용현산업단지),송산
의정부경전철,의정부경전철,탑석,0.4,,송산,탑석
