stationID,stationName,lineName,external_ID,odsay_stationID,laneName_from_API,prevStationIDs,prevStationNames,nextStationIDs,nextStationNames,exchangeStationIDs,exchangeLineNames,exchangeStationNames,api_status,api_error,fetched_at
1916,소요산,1호선,100,,1호선,,,1917.0,청산,,,,offline,,2025-08-14T18:55:24
1917,청산,1호선,100-1,,1호선,1916.0,소요산,1918.0,전곡,,,,offline,,2025-08-14T18:55:24
1918,전곡,1호선,100-2,,1호선,1917.0,청산,1919.0,연천,,,,offline,,2025-08-14T18:55:24
1919,연천,1호선,100-3,,1호선,1918.0,전곡,1915.0,동두천,,,,offline,,2025-08-14T18:55:24
1915,동두천,1호선,101,,1호선,1919.0,연천,1914.0,보산,,,,offline,,2025-08-14T18:55:24
1914,보산,1호선,102,,1호선,1915.0,동두천,1913.0,동두천중앙,,,,offline,,2025-08-14T18:55:24
1913,동두천중앙,1호선,103,,1호선,1914.0,보산,1912.0,지행,,,,offline,,2025-08-14T18:55:24
1912,지행,1호선,104,,1호선,1913.0,동두천중앙,1911.0,덕정,,,,offline,,2025-08-14T18:55:24
1911,덕정,1호선,105,,1호선,1912.0,지행,1910.0,덕계,,,,offline,,2025-08-14T18:55:24
1910,덕계,1호선,106,,1호선,1911.0,덕정,1909.0,양주,,,,offline,,2025-08-14T18:55:24
1909,양주,1호선,107,,1호선,1910.0,덕계,1908.0,녹양,,,,offline,,2025-08-14T18:55:24
1908,녹양,1호선,108,,1호선,1909.0,양주,1907.0,가능,,,,offline,,2025-08-14T18:55:24
1907,가능,1호선,109,,1호선,1908.0,녹양,1906.0,의정부,,,,offline,,2025-08-14T18:55:24
1906,의정부,1호선,110,,1호선,1907.0,가능,1905.0,회룡,,,,offline,,2025-08-14T18:55:24
1905,회룡,1호선,111,,1호선,1906.0,의정부,1904.0,망월사,4602,의정부경전철,회룡,offline,,2025-08-14T18:55:24
1904,망월사,1호선,112,,1호선,1905.0,회룡,1903.0,도봉산,,,,offline,,2025-08-14T18:55:24
1903,도봉산,1호선,113,,1호선,1904.0,망월사,1902.0,도봉,2712,7호선,도봉산,offline,,2025-08-14T18:55:24
1902,도봉,1호선,114,,1호선,1903.0,도봉산,1901.0,방학,,,,offline,,2025-08-14T18:55:24
1901,방학,1호선,115,,1호선,1902.0,도봉,1022.0,창동,,,,offline,,2025-08-14T18:55:24
1022,창동,1호선,116,,1호선,1901.0,방학,1021.0,녹천,412,4호선,창동,offline,,2025-08-14T18:55:24
1021,녹천,1호선,117,,1호선,1022.0,창동,1020.0,월계,,,,offline,,2025-08-14T18:55:24
1020,월계,1호선,118,,1호선,1021.0,녹천,1019.0,광운대,,,,offline,,2025-08-14T18:55:24
1019,광운대,1호선,119,,1호선,1020.0,월계,1018.0,석계,1305,경춘선,광운대,offline,,2025-08-14T18:55:24
1018,석계,1호선,120,,1호선,1019.0,광운대,1017.0,신이문,2645,6호선,석계,offline,,2025-08-14T18:55:24
1017,신이문,1호선,121,,1호선,1018.0,석계,1016.0,외대앞,,,,offline,,2025-08-14T18:55:24
1016,외대앞,1호선,122,,1호선,1017.0,신이문,1015.0,회기,,,,offline,,2025-08-14T18:55:24
1015,회기,1호선,123,,1호선,1016.0,외대앞,158.0,청량리,1307,경춘선,회기,offline,,2025-08-14T18:55:24
158,청량리,1호선,124,,1호선,1015.0,회기,157.0,제기동,"101,413,061,845","경의선,경춘선,수인분당선","청량리,청량리,청량리",offline,,2025-08-14T18:55:24
157,제기동,1호선,125,,1호선,158.0,청량리,156.0,신설동,,,,offline,,2025-08-14T18:55:24
156,신설동,1호선,126,,1호선,157.0,제기동,159.0,동묘앞,"2,464,713","2호선,우이신설경전철","신설동,신설동",offline,,2025-08-14T18:55:24
