철도운영기관명,선명,역명,역간거리,소요시간(초),소요시간,역명_clean,전역
공항철도주식회사,공항철도,서울역,,,0,서울역,
공항철도주식회사,공항철도,공덕,3.3,204.47504302926,204,공덕,서울역
공항철도주식회사,공항철도,홍대입구,2.8,173.493975903614,173,홍대입구,공덕
공항철도주식회사,공항철도,디지털미디어시티,3.4,210.671256454389,210,디지털미디어시티,홍대입구
공항철도주식회사,공항철도,마곡나루,8.6,532.874354561101,532,마곡나루,디지털미디어시티
공항철도주식회사,공항철도,김포공항,2.3,142.512908777969,142,김포공항,마곡나루
공항철도주식회사,공항철도,계양,6.6,408.95008605852,408,계양,김포공항
공항철도주식회사,공항철도,검암,5.5,340.7917383821,340,검암,계양
공항철도주식회사,공항철도,청라국제도시,4.8,297.418244406196,297,청라국제도시,검암
공항철도주식회사,공항철도,영종,10.2,632.013769363167,632,영종,청라국제도시
공항철도주식회사,공항철도,운서,3.6,223.063683304647,223,운서,영종
공항철도주식회사,공항철도,공항화물청사,4.3,266.437177280551,266,공항화물청사,운서
공항철도주식회사,공항철도,인천공항1터미널,2.6,161.101549053356,161,인천공항1터미널,공항화물청사
공항철도주식회사,공항철도,인천공항2터미널,5.8,359.380378657487,359,인천공항2터미널,인천공항1터미널
