노선,역명_clean,전역_clean,소요시간
1호선,연천,,911
1호선,전곡,연천,349
1호선,청산,전곡,614
1호선,소요산,청산,265
1호선,동두천,소요산,169
1호선,보산,동두천,148
1호선,동두천중앙,보산,106
1호선,지행,동두천중앙,593
1호선,덕정,지행,307
1호선,덕계,덕정,561
1호선,양주,덕계,169
1호선,녹양,양주,138
1호선,가능,녹양,127
1호선,의정부,가능,169
1호선,회룡,의정부,148
1호선,망월사,회룡,244
1호선,도봉산,망월사,127
1호선,도봉,도봉산,138
1호선,방학,도봉,180
1호선,창동,방학,106
1호선,녹천,창동,148
1호선,월계,녹천,116
1호선,광운대,월계,116
1호선,석계,광운대,148
1호선,신이문,석계,85
1호선,외대앞,신이문,85
1호선,회기,외대앞,148
1호선,청량리,회기,0
1호선,제기동,청량리,88
1호선,신설동,제기동,79
1호선,동묘앞,신설동,61
1호선,동대문,동묘앞,53
1호선,종로5가,동대문,70
1호선,종로3가,종로5가,79
1호선,종각,종로3가,70
1호선,시청,종각,88
1호선,서울역,시청,96
1호선,남영,서울역,149
1호선,용산,남영,131
1호선,노량진,용산,158
1호선,대방,노량진,131
1호선,신길,대방,70
1호선,영등포,신길,88
1호선,신도림,영등포,131
1호선,구로,신도림,105
1호선,가산디지털단지,구로,89
1호선,구일,가산디지털단지,134
1호선,개봉,구일,96
1호선,독산,개봉,161
1호선,금천구청,독산,97
1호선,오류동,금천구청,124
1호선,광명,오류동,387
1호선,석수,광명,153
1호선,온수,석수,182
1호선,관악,온수,153
1호선,역곡,관악,124
1호선,소사,역곡,144
1호선,안양,소사,194
1호선,명학,안양,178
1호선,부천,명학,105
1호선,금정,부천,113
1호선,중동,금정,163
1호선,군포,중동,178
1호선,송내,군포,96
1호선,당정,송내,129
1호선,부개,당정,115
1호선,부평,부개,144
1호선,의왕,부평,210
1호선,백운,의왕,163
1호선,성균관대,백운,234
1호선,화서,성균관대,210
1호선,동암,화서,144
1호선,간석,동암,115
1호선,수원,간석,170
1호선,세류,수원,234
1호선,주안,세류,115
1호선,도화,주안,96
1호선,병점,도화,347
1호선,서동탄,병점,178
1호선,세마,서동탄,194
1호선,제물포,세마,96
1호선,도원,제물포,134
1호선,오산대,도원,218
1호선,동인천,오산대,115
1호선,오산,동인천,218
1호선,인천,오산,182
1호선,진위,인천,323
1호선,송탄,진위,307
1호선,서정리,송탄,178
1호선,평택지제,서정리,387
1호선,평택,평택지제,299
1호선,성환,평택,759
1호선,직산,성환,436
1호선,두정,직산,436
1호선,천안,두정,242
1호선,봉명,천안,105
1호선,쌍용,봉명,129
1호선,아산,쌍용,129
1호선,탕정,아산,145
1호선,배방,탕정,250
1호선,온양온천,배방,396
1호선,신창,온양온천,412
