연번,호선,환승역명,환승노선,환승거리,환승소요시간
1,1,서울역,4호선,159,02:13
2,1,서울역,공항철도,309,04:18
3,1,서울역,경의중앙선,164,02:17
4,1,시청,2호선,101,01:24
5,1,종로3가,3호선,118,01:38
6,1,종로3가,5호선,312,04:20
7,1,동대문,4호선,194,02:42
8,1,동묘앞,6호선,96,01:20
9,1,신설동,2호선,159,02:13
10,1,신설동,우이신설선,129,01:48
11,1,청량리,경의중앙선,165,02:18
12,1,청량리,경춘선,203,02:49
13,1,청량리,수인분당선,180,02:30
14,2,시청,1호선,101,01:24
15,2,을지로3가,3호선,149,02:04
16,2,을지로4가,5호선,77,01:04
17,2,동대문역사문화공원,4호선,45,00:38
18,2,동대문역사문화공원,5호선,234,03:15
19,2,신당,6호선,242,03:22
20,2,왕십리,수인분당선,99,01:23
21,2,왕십리,5호선,86,01:12
22,2,왕십리,경의중앙선,50,00:42
23,2,성수,2호선,23,00:19
24,2,건대입구,7호선,77,01:04
25,2,잠실,8호선,190,02:38
26,2,종합운동장,9호선,94,01:18
27,2,선릉,수인분당선,81,01:08
28,2,강남,신분당선,214,02:58
29,2,교대,3호선,75,01:03
30,2,사당,4호선,74,01:02
31,2,신림,신림선,88,01:13
32,2,대림,7호선,276,03:50
33,2,신도림,1호선,81,01:08
34,2,신도림,2호선,81,01:08
35,2,영등포구청,5호선,110,01:32
36,2,당산,9호선,105,01:28
37,2,합정,6호선,82,01:08
38,2,홍대입구,공항철도,355,04:56
39,2,홍대입구,경의중앙선,305,04:14
40,2,충정로,5호선,212,02:57
41,2,신설동,1호선,159,02:13
42,2,신설동,우이신설선,273,03:48
43,3,종로3가,1호선,118,01:38
44,3,종로3가,5호선,117,01:38
45,3,을지로3가,2호선,149,02:04
46,3,교대,2호선,75,01:03
47,3,양재,신분당선,93,01:18
48,3,연신내,6호선,181,02:31
49,3,불광,6호선,100,01:23
50,3,충무로,4호선,17,00:14
51,3,약수,6호선,130,01:48
52,3,옥수,경의중앙선,155,02:09
53,3,신사,신분당선,77,01:04
54,3,고속터미널,7호선,169,02:21
55,3,고속터미널,9호선,155,02:09
56,3,도곡,수인분당선,78,01:05
57,3,수서,국철,92,01:17
58,3,가락시장,8호선,35,00:29
59,3,오금,5호선,65,00:54
60,4,서울역,1호선,159,02:13
61,4,서울역,공항철도,224,03:07
62,4,서울역,경의중앙선,323,04:29
63,4,동대문,1호선,194,02:42
64,4,동대문역사문화공원,2호선,45,00:38
65,4,동대문역사문화공원,5호선,107,01:29
66,4,사당,2호선,74,01:02
67,4,충무로,3호선,17,00:14
68,4,노원,7호선,278,03:52
69,4,창동,1호선,84,01:10
70,4,성신여대입구,우이신설선,7,00:06
71,4,이촌,경의중앙선,78,01:05
72,4,삼각지,6호선,155,02:09
73,4,동작,9호선,245,03:24
74,4,총신대입구,7호선,171,02:23
75,5,김포공항,공항철도,122,01:42
76,5,김포공항,9호선,106,01:28
77,5,김포공항,김포골드라인,200,02:47
78,5,김포공항,서해선,100,01:23
79,5,까치산,2호선,17,00:14
80,5,영등포구청,2호선,110,01:32
81,5,신길,1호선,242,03:22
82,5,여의도,9호선,68,00:57
83,5,공덕,6호선,73,01:01
84,5,공덕,공항철도,275,03:49
85,5,공덕,경의중앙선,214,02:58
86,5,충정로,2호선,212,02:57
87,5,종로3가,1호선,312,04:20
88,5,종로3가,3호선,117,01:38
89,5,을지로4가,2호선,77,01:04
90,5,동대문역사문화공원,2호선,234,03:15
91,5,동대문역사문화공원,4호선,107,01:29
92,5,청구,6호선,104,01:27
93,5,왕십리,2호선,86,01:12
94,5,왕십리,경의중앙선,198,02:45
95,5,왕십리,수인분당선,244,03:23
96,5,군자,7호선,75,01:03
97,5,천호,8호선,35,00:29
98,5,강동,5호선,19,00:16
99,5,올림픽공원,9호선,93,01:18
100,5,오금,3호선,65,00:54
101,6,신내,경춘선,50,00:42
102,6,태릉입구,7호선,46,00:38
103,6,석계,경원선,125,01:44
104,6,동묘앞,1호선,96,01:20
105,6,신당,2호선,242,03:22
106,6,보문,우이신설선,87,01:13
107,6,청구,5호선,104,01:27
108,6,약수,3호선,130,01:48
109,6,삼각지,4호선,155,02:09
110,6,효창공원앞,경의중앙선,110,01:32
111,6,공덕,5호선,73,01:01
112,6,공덕,공항철도,265,03:41
113,6,공덕,경의중앙선,152,02:07
114,6,합정,2호선,82,01:08
115,6,디지털미디어시티,경의중앙선,55,00:46
116,6,디지털미디어시티,공항철도,186,02:35
117,6,불광,3호선,100,01:23
118,6,연신내,3호선,181,02:31
119,7,도봉산,1호선,44,00:37
120,7,노원,4호선,278,03:52
121,7,태릉입구,6호선,46,00:38
122,7,상봉,경의중앙선,100,01:23
123,7,상봉,경춘선,100,01:23
124,7,군자,5호선,75,01:03
125,7,건대입구,2호선,77,01:04
126,7,강남구청,수인분당선,125,01:44
127,7,논현,신분당선,80,01:07
128,7,고속터미널,3호선,169,02:21
129,7,고속터미널,9호선,314,04:22
130,7,이수,4호선,171,02:23
131,7,보라매,신림선,71,00:59
132,7,대림,2호선,276,03:50
133,7,가산디지털단지,1호선,110,01:32
134,7,온수,1호선,102,01:25
135,8,천호,5호선,35,00:29
136,8,석촌,9호선,82,01:08
137,8,잠실,2호선,190,02:38
138,8,가락시장,3호선,35,00:29
139,8,복정,수인분당선,16,00:13
140,8,모란,수인분당선,99,01:23
