line,from_station,to_station,seconds,kind
1,서울역,시청,120,ride
1,시청,서울역,120,ride
1,시청,종각,120,ride
1,종각,시청,120,ride
1,종각,종로3가,90,ride
1,종로3가,종각,90,ride
1,종로3가,종로5가,90,ride
1,종로5가,종로3가,90,ride
1,종로5가,동대문,90,ride
1,동대문,종로5가,90,ride
1,동대문,동묘앞,60,ride
1,동묘앞,동대문,60,ride
1,동묘앞,신설동,90,ride
1,신설동,동묘앞,90,ride
1,신설동,제기동,90,ride
1,제기동,신설동,90,ride
1,제기동,청량리,90,ride
1,청량리,제기동,90,ride
2,시청,을지로입구,90,ride
2,을지로입구,시청,90,ride
2,을지로입구,을지로3가,60,ride
2,을지로3가,을지로입구,60,ride
2,을지로3가,을지로4가,60,ride
2,을지로4가,을지로3가,60,ride
2,을지로4가,동대문역사문화공원,90,ride
2,동대문역사문화공원,을지로4가,90,ride
2,동대문역사문화공원,신당,90,ride
2,신당,동대문역사문화공원,90,ride
2,신당,상왕십리,60,ride
2,상왕십리,신당,60,ride
2,상왕십리,왕십리,60,ride
2,왕십리,상왕십리,60,ride
2,왕십리,한양대,90,ride
2,한양대,왕십리,90,ride
2,한양대,뚝섬,90,ride
2,뚝섬,한양대,90,ride
2,뚝섬,성수,60,ride
2,성수,뚝섬,60,ride
2,성수,건대입구,90,ride
2,건대입구,성수,90,ride
2,건대입구,구의,120,ride
2,구의,건대입구,120,ride
2,구의,강변,60,ride
2,강변,구의,60,ride
2,강변,잠실나루,120,ride
2,잠실나루,강변,120,ride
2,잠실나루,잠실,90,ride
2,잠실,잠실나루,90,ride
2,잠실,잠실새내,90,ride
2,잠실새내,잠실,90,ride
2,잠실새내,종합운동장,90,ride
2,종합운동장,잠실새내,90,ride
2,종합운동장,삼성,90,ride
2,삼성,종합운동장,90,ride
2,삼성,선릉,90,ride
2,선릉,삼성,90,ride
2,선릉,역삼,90,ride
2,역삼,선릉,90,ride
2,역삼,강남,60,ride
2,강남,역삼,60,ride
2,강남,교대,90,ride
2,교대,강남,90,ride
2,교대,서초,60,ride
2,서초,교대,60,ride
2,서초,방배,120,ride
2,방배,서초,120,ride
2,방배,사당,150,ride
2,사당,방배,150,ride
2,사당,낙성대,120,ride
2,낙성대,사당,120,ride
2,낙성대,서울대입구,90,ride
2,서울대입구,낙성대,90,ride
2,서울대입구,봉천,60,ride
2,봉천,서울대입구,60,ride
